ID,fullname,role,birthday,died,IDPlay
1,Γουίλιαμ Σαίξπηρ,Συγγραφέας,1564,1616,"1,19,45,47"
2,Σοφοκλής,Συγγραφέας,496 π.Χ.,406 π.Χ.,"2,6,49"
3,Μαριάννα Τόλη,Συγγραφέας,-,-,3
4,Παναγιώτης Πασχίδης,Συγγραφέας,1964,-,4
5,Παναγιώτης Μέντης,Συγγραφέας,1953,-,5
6,Ντέιβιντ Μπέρυ,Συγγραφέας,1943,-,7
7,"Βερν, Ιούλιος (Ζυλ)",Συγγραφέας,1828,1905,9
8,Λουίτζι Πιραντέλο,Συγγραφέας,1867,1936,10
9,Ευριπίδης,Συγγραφέας,480 π.Χ.,406 πΧ,"11,21,22,30,41"
10,Μπέρτολτ Μπρεχτ,Συγγραφέας,1898,1956,"12, 37"
11,Νικολάι Βασίλιεβιτς Γκόγκολ,Συγγραφέας,1809,1852,13
12,"Ίψεν, Ερρίκος Ιωάννης",Συγγραφέας,1828,1906,"14,35"
13,Παντελής Χορν,Συγγραφέας,1881,1941,15
14,"Ο’ Νηλ, Ευγένιος ,Γκλάντστοουν",Συγγραφέας,1888,1953,16
15,Ζαν Ζιρωντού,Συγγραφέας,1882,1944,17
16,Παύλος Μάτεσις,Συγγραφέας,1930,2013,18
17,Μιχάλης Δήμου,Συγγραφέας,1949,-,20
18,Μαριάννα Κάλμπαρη,Συγγραφέας,1969,-,"23,34"
19,Μιγκντάλια Κρουζ,Συγγραφέας,1958,,24
20,Πήτερ Λέβιν Σάφερ,Συγγραφέας,1926,2016,25
21,Βασίλης Κατσικονούρης,Συγγραφέας,1960,-,26
22,"Μολιέρος (Ποκλέν, Ζαν-Μπατίστ)",Συγγραφέας,1622,1673,27
23,"Θανάσης Παπαθανασίου, Μιχάλης Ρέππας",Συγγραφέας,1959,-,28
24,Νίκος Καζαντζάκης,Συγγραφέας,1883,1957,29
25,Αριστοφάνης,Συγγραφέας,445 π.Χ.,336 π.Χ.,"31, 40"
26,Γιάνους Γκλοβάτσκι,Συγγραφέας,1938,-,32
27,Γιάννης Καλατζόπουλος,Συγγραφέας,1949,-,33
28,Αλεξέι Σλαπόφσκυ,Συγγραφέας,1957,-,36
30,Άρης Τρουπάκης,Συγγραφέας,1976,-,38
31,Άντον Παύλοβιτς Τσέχοφ,Συγγραφέας,1860,1904,39
33,Φιοντόρ Μιχαήλοβιτς Ντοστογιέφσκι,Συγγραφέας,1821,1881,42
34,Μιχαήλ Μπουλγκάκοφ,Συγγραφέας,1891,1940,43
35,"Τρίερ, Λαρς φον",Συγγραφέας,1956,-,44
36,Λεβ Νικολάεβιτς Τολστόι,Συγγραφέας,1828,1910,46
37,Κρίστοφερ Μάρλοου,Συγγραφέας,1564,1593,48
38,"Στρίντμπεργκ, Αύγουστος Ιωάννης φον",Συγγραφέας,1849,1912,50
39,Χρήστος Στρέπκος,Συγγραφέας,1971,-,51
40,Στρατής Πασχάλης,Μεταφραστής,1958,-,"1, 22, 25, 30, 44"
41,Νίκος Παναγιωτόπουλος,Μεταφραστής,1941,2016,2
42,Λευτέρης Γιοβανίδης,Μεταφραστής,1974,-,7
43,Στάθης Λιβαθινός,Μεταφραστής,1960,-,8
44,"Μαριάννα Τόλη, Βασιλική Χαραλάμπους",Μεταφραστής,1952,2018,9
45,Δημήτρης Μαυρίκιος,Μεταφραστής,1948,-,10
46,Κώστας Τσιάνος,Μεταφραστής,1942,-,"11, 31"
47,Πέτρος Μάρκαρης,Μεταφραστής,1937,-,"12, 37"
48,Λεωνίδας Καρατζάς,Μεταφραστής,-,-,"13, 43"
49,Γιώργος Ξενίας,Μεταφραστής,-,-,14
50,Νόνικα Γαληνέα,Μεταφραστής,1938,-,16
51,Γιάννης Γ. Ιορδανίδης,Μεταφραστής,1921,2005,"17, 45"
52,Μιχάλης Κακογιάννης,Μεταφραστής,1921,2011,19
53,Νικολέττα Φριντζήλα,Μεταφραστής,1977,-,21
54,Αθηνά Παραπονιάρη,Μεταφραστής,-,-,24
55,Λουίζα Μητσάκου,Μεταφραστής,-,-,27
56,Γκάγκα Ρόσιτς,Μεταφραστής,1953,-,32
57,Γιώργος Δεπάστας,Μεταφραστής,-,-,"35, 50"
58,"Δημήτρης Ήμελλος, Λεϊλά Σενγκελίγια",Μεταφραστής,-,-,36
59,Γιάννης Στυλιάτης,Μεταφραστής,-,-,39
60,Παντελής Μπουκάλας,Μεταφραστής,1957,-,40
61,Κ. Χ. Μύρης,Μεταφραστής,1937,-,41
62,Αντρέας Σαραντόπουλος,Μεταφραστής,1915,2002,46
63,Ερρίκος Μπελιές,Μεταφραστής,1950,2016,47
64,Χριστίνα Μπάμπου-Παγκουρέλη,Μεταφραστής,1956,-,48
65,Γιώργος Χειμωνάς,Μεταφραστής,1938,2000,49
66,Στάθης Λιβαθινός,Σκηνοθέτης,1960,-,"1, 22, 43, 50"
67,Νικαίτη Κοντούρη,Σκηνοθέτης,1957,-,"2, 35"
68,Μαριάννα Τόλη,Σκηνοθέτης,1952,2018,"3, 9"
69,Κώστας Τσιάνος,Σκηνοθέτης,1942,-,"4, 11, 15, 20, 31, 37"
70,Κώστας Μπάκας,Σκηνοθέτης,1927,2003,5
71,Σωτήρης Χατζάκης,Σκηνοθέτης,1957,-,"6, 29"
72,Κοραής Δαμάτης,Σκηνοθέτης,1952,-,"6, 17"
73,Δημήτρης Μαυρίκιος,Σκηνοθέτης,1948,-,10
74,Γιάννης Παρασκευόπουλος,Σκηνοθέτης,1971,-,12
75,Νίνα Τσούσοβα,Σκηνοθέτης,-,-,13
76,Βασίλης Νικολαΐδης,Σκηνοθέτης,1954,-,"14, 30"
77,Γιάννης Γ. Ιορδανίδης,Σκηνοθέτης,1955,-,"16, 45"
78,Κοραής Δαμάτης,Σκηνοθέτης,1952,-,17
79,Διαγόρας Χρονόπουλος,Σκηνοθέτης,1939,2015,18
80,Μιχάλης Κακογιάννης,Σκηνοθέτης,1921,2011,19
81,Λυδία Κονιόρδου,Σκηνοθέτης,1953,-,21
82,Δημήτρης Λιγνάδης,Σκηνοθέτης,1964,-,"23, 34, 48"
83,Μαρία-Λουίζα Παπαδοπούλου,Σκηνοθέτης,-,-,24
84,Γιώργος Θεοδοσιάδης,Σκηνοθέτης,1924,2006,25
85,Τάκης Τζαμαργιάς,Σκηνοθέτης,1959,-,26
86,Βασίλης Παπαβασιλείου,Σκηνοθέτης,1949,-,27
87,"Θανάσης Παπαθανασίου, Μιχάλης Ρέππας",Σκηνοθέτης,1959,-,28
88,Σωτήρης Χατζάκης,Σκηνοθέτης,1957,-,29.41
89,Βασίλης Νικολαΐδης,Σκηνοθέτης,1954,-,30
90,Σλόμπονταν Ουνκόφσκι,Σκηνοθέτης,-,-,"32, 47"
91,Γιάννης Καλατζόπουλος,Σκηνοθέτης,1949,-,33
92,Νικαίτη Κοντούρη,Σκηνοθέτης,1957,-,35
93,Κατερίνα Αλεξάκη,Σκηνοθέτης,-,-,36
94,Άρης Τρουπάκης,Σκηνοθέτης,1976,-,38
95,Λίλλυ Μελεμέ,Σκηνοθέτης,1966,-,39
96,Βαγγέλης Θεοδωρόπουλος,Σκηνοθέτης,1953,-,40
97,Ελένη Μποζά,Σκηνοθέτης,-,-,42
98,Αντώνης Καλογρίδης,Σκηνοθέτης,1972,-,44
99,Στρατής Πανούριος,Σκηνοθέτης,1967,-,46
100,Έφη Θεοδώρου,Σκηνοθέτης,-,-,49
101,Δημήτρης Τιμπιλής,Σκηνοθέτης,1971,-,51
