ID,Τίτλος έργου,Είδος,Έτος συγγραφής,Σκηνή,Συγγραφέας,Μετάφραση,Σκηνοθεσία,Έτος παραστάσεων
1,Αγάπης αγώνας άγονος,Αγγλικό Θέατρο | Ελισαβετιανό Θέατρο | Κωμωδία,1592-1598,Πειραματική Σκηνή,Γουίλιαμ Σαίξπηρ,Στρατής Πασχάλης,Στάθης Λιβαθινός,2002-2003
2,Αντιγόνη,Αρχαίο δράμα | Τραγωδία,442 c. πΧ,Κεντρική Σκηνή,Σοφοκλής,Νίκος Παναγιωτόπουλος,Νικαίτη Κοντούρη,2002-2003
3,Ο μαγικός κόσμος της αγάπης,Νεοελληνικό Θέατρο | 20ός αιώνας | Παιδικό Θέατρο,2001,Παιδικό Στέκι,Μαριάννα Τόλη,-,Μαριάννα Τόλη,2002
4,Μιζερέρε,Νεοελληνικό Θέατρο | 21ος αιώνας | Μιούζικαλ,2001,Κεντρική Σκηνή,Παναγιώτης Πασχίδης,-,Κώστας Τσιάνος,2002
5,Ξένοι,Νεοελληνικό Θέατρο | 21ος αιώνας,2001,Νέα Σκηνή,Παναγιώτης Μέντης,-,Κώστας Μπάκας,2002
6,Οιδίπους τύραννος επί Κολωνώ,Τραφωδια,401 π.X,Πειραματική Σκηνή | Δραματουργική σύνθεση,Σοφοκλής,-,Σωτήρης Χατζάκης,2002
7,Οι φάλαινες του Αυγούστου,Αμερικανικό Θέατρο | 20ός αιώνας,1980,Νέα Σκηνή,Ντέιβιντ Μπέρυ,Λευτέρης Γιοβανίδης,Κοραής Δαμάτης,2002
8,Αυτό που δεν τελειώνει: Ελληνική ποίηση του 20ού αιώνα,Ελληνική ποιηση,-,Πειραματική Σκηνή | Δραματουργική σύνθεση,-,Στάθης Λιβαθινός,-,2003
9,Ο γύρος του κόσμου σε 80 ημέρες,Δραματοποιημένη Λογοτεχνία | Γαλλική Πεζογραφία,1872,Παιδικό Στέκι,"Βερν, Ιούλιος (Ζυλ)","Μαριάννα Τόλη, Βασιλική Χαραλάμπους",Μαριάννα Τόλη,2002-2003
10,Έξι πρόσωπα ζητούν συγγραφέα,Ιταλικό Θέατρο | 20ός αιώνας,1921,Νέα Σκηνή,Λουίτζι Πιραντέλο,Δημήτρης Μαυρίκιος,Δημήτρης Μαυρίκιος,2002-2003
11,Ιφιγένεια η εν Αυλίδι,Αρχαίο δράμα | Τραγωδία,408 / 406 πΧ,Κεντρική Σκηνή,Ευριπίδης,Κώστας Τσιάνος,Κώστας Τσιάνος,2002
12,Μπάαλ,Γερμανικό Θέατρο | 20ός αιώνας | Πολιτικό Θέατρο | Επικό Θέατρο,1918-1919,Πειραματική Σκηνή,Μπέρτολτ Μπρεχτ,Πέτρος Μάρκαρης,Γιάννης Παρασκευόπουλος,2002-2003
13,Το παλτό,Δραματοποιημένη Λογοτεχνία | Ρωσική Πεζογραφία,1842,Πειραματική Σκηνή,Νικολάι Βασίλιεβιτς Γκόγκολ,Λεωνίδας Καρατζάς,Νίνα Τσούσοβα,2002-2003
14,Πέερ Γκυντ,Νορβηγικό Θέατρο | 19ος αιώνας | Συμβολισμός,1867,Κεντρική Σκηνή,"Ίψεν, Ερρίκος Ιωάννης",Γιώργος Ξενίας,Βασίλης Νικολαΐδης,2002-2003
15,Ο Σέντζας,Νεοελληνικό Θέατρο | 20ός αιώνας | Δράμα,1925,Νέα Σκηνή,Παντελής Χορν,-,Κώστας Τσιάνος,2002-2004
16,Ταξίδι μεγάλης μέρας μέσα στη νύχτα,Αμερικανικό Θέατρο | 20ός αιώνας | Ρεαλισμός | Ψυχολογικό Δράμα,1939-1941,Κεντρική Σκηνή,"Ο’ Νηλ, Ευγένιος ,Γκλάντστοουν",Νόνικα Γαληνέα,Γιάννης Γ. Ιορδανίδης,2002-2003
17,Η τρελή του Σαγιώ,Γαλλικό Θέατρο | 20ός αιώνας,1945,Κεντρική Σκηνή,Ζαν Ζιρωντού,Γιάννης Γ. Ιορδανίδης,Κοραής Δαμάτης,2002-2003
18,Το φάντασμα του κυρίου Ραμόν Νοβάρο,Νεοελληνικό Θέατρο | 20ός αιώνας,1973,Κεντρική Σκηνή,Παύλος Μάτεσις,-,Διαγόρας Χρονόπουλος,2002-2003
19,Άμλετ,Αγγλικό Θέατρο | Ελισαβετιανό Θέατρο | Τραγωδία,1599-1601,Κεντρική Σκηνή,Γουίλιαμ Σαίξπηρ,Μιχάλης Κακογιάννης,Μιχάλης Κακογιάννης,2003-2004
20,Από μηχανής... άνεμος,Νεοελληνικό Θέατρο | 21ος αιώνας,2004,Νέα Σκηνή,Μιχάλης Δήμου,-,Κώστας Τσιάνος,2003-2004
21,Ίων,Αρχαίο δράμα | Τραγωδία | Τραγικοκωμωδία,418 / 414 πΧ,Κεντρική Σκηνή,Ευριπίδης,Νικολέττα Φριντζήλα,Λυδία Κονιόρδου,2003
22,Μήδεια,Αρχαίο δράμα | Τραγωδία,431 πΧ,Κεντρική Σκηνή,Ευριπίδης,Στρατής Πασχάλης,Στάθης Λιβαθινός,2003
23,Βιομαγεία,Νεοελληνικό Θέατρο | 21ος αιώνας | Θέατρο της Επινόησης,2004,Πειραματική Σκηνή,Μαριάννα Κάλμπαρη,-,Δημήτρης Λιγνάδης,2003-2004
24,Γούνα,Αμερικανικό Θέατρο | 20ός αιώνας,1999,Πειραματική Σκηνή,Μιγκντάλια Κρουζ,Αθηνά Παραπονιάρη,Μαρία-Λουίζα Παπαδοπούλου,2003-2004
25,Το δώρο της Μέδουσας,Αγγλικό Θέατρο | 20ός αιώνας,1992,Κεντρική Σκηνή,Πήτερ Λέβιν Σάφερ,Στρατής Πασχάλης,Γιώργος Θεοδοσιάδης,2003-2004
26,Καλιφόρνια ντρίμιν,Νεοελληνικό Θέατρο | 21ος αιώνας | Κωμωδία,2002,Πειραματική Σκηνή,Βασίλης Κατσικονούρης,-,Τάκης Τζαμαργιάς,2003-2004
27,Κατά λάθος πρόβες,Γαλλικό Θέατρο | Κλασικισμός | Κωμωδία,1663,Πειραματική Σκηνή | Ενιαία παράσταση,"Μολιέρος (Ποκλέν, Ζαν-Μπατίστ)",Λουίζα Μητσάκου,Βασίλης Παπαβασιλείου,2003-2004
28,Ποια Ελένη;,Νεοελληνικό Θέατρο | 21ος αιώνας | Ιστορική Παρωδία,2004,Κεντρική Σκηνή,"Θανάσης Παπαθανασίου, Μιχάλης Ρέππας",-,"Θανάσης Παπαθανασίου, Μιχάλης Ρέππας","2003-2004
2004-2005"
