id,title,type,year_of_writing,place,author,translator,direction,year_played
1,Αγάπης αγώνας άγονος,κωμωδία,1592,Πειραματική Σκηνή,Γουίλιαμ Σαίξπηρ,Στρατής Πασχάλης,Στάθης Λιβαθινός,2002
2,Αντιγόνη,Αρχαίο δράμα ,442 π.Χ,Κεντρική Σκηνή,Σοφοκλής,Νίκος Παναγιωτόπουλος,Νικαίτη Κοντούρη,2002
3,Ο μαγικός κόσμος της αγάπης,Παιδικό Θέατρο,2001,Παιδικό Στέκι,Μαριάννα Τόλη,-,Μαριάννα Τόλη,2002
4,Μιζερέρε,Μιούζικαλ,2001,Κεντρική Σκηνή,Παναγιώτης Πασχίδης,-,Κώστας Τσιάνος,2002
5,Ξένοι,Νεοελληνικό Θέατρο,2001,Νέα Σκηνή,Παναγιώτης Μέντης,-,Κώστας Μπάκας,2002
6,Οιδίπους τύραννος επί Κολωνώ,Τραγωδια,401 π.X,Πειραματική Σκηνή ,Σοφοκλής,-,Σωτήρης Χατζάκης,2002
7,Οι φάλαινες του Αυγούστου,Αμερικανικό Θέατρο,1980,Νέα Σκηνή,Ντέιβιντ Μπέρυ,Λευτέρης Γιοβανίδης,Κοραής Δαμάτης,2002
8,Αυτό που δεν τελειώνει: Ελληνική ποίηση του 20ού αιώνα,Ελληνική ποιηση,-,Πειραματική Σκηνή ,-,Στάθης Λιβαθινός,-,2003
9,Ο γύρος του κόσμου σε 80 ημέρες,Δραματοποιημένη Λογοτεχνία,1872,Παιδικό Στέκι,"Βερν, Ιούλιος (Ζυλ)","Μαριάννα Τόλη, Βασιλική Χαραλάμπους",Μαριάννα Τόλη,2002
10,Έξι πρόσωπα ζητούν συγγραφέα,Ιταλικό Θέατρο ,1921,Νέα Σκηνή,Λουίτζι Πιραντέλο,Δημήτρης Μαυρίκιος,Δημήτρης Μαυρίκιος,2002
11,Ιφιγένεια η εν Αυλίδι,Αρχαίο δράμα,408 πΧ,Κεντρική Σκηνή,Ευριπίδης,Κώστας Τσιάνος,Κώστας Τσιάνος,2002
12,Μπάαλ,Γερμανικό Θέατρο ,1918,Πειραματική Σκηνή,Μπέρτολτ Μπρεχτ,Πέτρος Μάρκαρης,Γιάννης Παρασκευόπουλος,2003
13,Το παλτό,Δραματοποιημένη Λογοτεχνία,1842,Πειραματική Σκηνή,Νικολάι Βασίλιεβιτς Γκόγκολ,Λεωνίδας Καρατζάς,Νίνα Τσούσοβα,2003
14,Πέερ Γκυντ,Νορβηγικό Θέατρο,1867,Κεντρική Σκηνή,"Ίψεν, Ερρίκος Ιωάννης",Γιώργος Ξενίας,Βασίλης Νικολαΐδης,2002
15,Ο Σέντζας,Νεοελληνικό Θέατρο,1925,Νέα Σκηνή,Παντελής Χορν,-,Κώστας Τσιάνος,2004
16,Ταξίδι μεγάλης μέρας μέσα στη νύχτα,Αμερικανικό Θέατρο ,1939,Κεντρική Σκηνή,"Ο’ Νηλ, Ευγένιος ,Γκλάντστοουν",Νόνικα Γαληνέα,Γιάννης Γ. Ιορδανίδης,2002
17,Η τρελή του Σαγιώ,Γαλλικό Θέατρο ,1945,Κεντρική Σκηνή,Ζαν Ζιρωντού,Γιάννης Γ. Ιορδανίδης,Κοραής Δαμάτης,2003
18,Το φάντασμα του κυρίου Ραμόν Νοβάρο,Νεοελληνικό Θέατρο ,1973,Κεντρική Σκηνή,Παύλος Μάτεσις,-,Διαγόρας Χρονόπουλος,2003
